,總統,黨派,年份,屆次,演說,演說_removePunc,tokens
10,賴清德,民進黨,2024,16,然而，全民對於政黨的理性問政，也有很大的期待。政黨在競爭之外，也應該有合作的信念，國家才能踏出穩健的步伐,然而全民對於政黨的理性問政也有很大的期待政黨在競爭之外也應該有合作的信念國家才能踏出穩健的步伐,"['然而', '，', '全民', '對於', '政黨', '的', '理性', '問政', '，', '也', '有', '很', '大', '的', '期待', '。', '政黨', '在', '競爭', '之外', '，', '也', '應該', '有', '合作', '的', '信念', '，', '國家', '才', '能', '踏出', '穩健', '的', '步伐']"
11,賴清德,民進黨,2024,16,立法院的議事運作，應該遵守程序正義，多數尊重少數，少數服從多數，才能避免衝突，維持社會的安定和諧,立法院的議事運作應該遵守程序正義多數尊重少數少數服從多數才能避免衝突維持社會的安定和諧,"['立法院', '的', '議事', '運作', '，', '應該', '遵守', '程序', '正義', '，', '多數', '尊重', '少數', '，', '少數', '服從', '多數', '，', '才', '能', '避免', '衝突', '，', '維持', '社會', '的', '安定', '和諧']"
12,賴清德,民進黨,2024,16,在民主社會，人民的利益至上，這是民主的根本；國家的利益優先於政黨的利益，這是政黨的天職。當朝野政黨推動法案，都能夠合乎憲法，秉持「人民至上」、「國家優先」的精神時，國政自然順利推展,在民主社會人民的利益至上這是民主的根本國家的利益優先於政黨的利益這是政黨的天職當朝野政黨推動法案都能夠合乎憲法秉持人民至上國家優先的精神時國政自然順利推展,"['在', '民主', '社會', '，', '人民', '的', '利益', '至上', '，', '這', '是', '民主', '的', '根本', '；', '國家', '的', '利益', '優先', '於', '政黨', '的', '利益', '，', '這', '是', '政黨', '的', '天職', '。', '當', '朝野', '政黨', '推動', '法案', '，', '都', '能夠', '合乎', '憲法', '，', '秉持', '「', '人民', '至上', '」', '、', '「', '國家', '優先', '」', '的', '精神', '時', '，', '國政', '自然', '順利', '推展']"
13,賴清德,民進黨,2024,16,行政院卓榮泰院長率領的內閣團隊，也將優先解決對社會有益、朝野有共識的議題，以積極行動、創新思維，解決民瘼，來回應民意、服務人民,行政院卓榮泰院長率領的內閣團隊也將優先解決對社會有益朝野有共識的議題以積極行動創新思維解決民瘼來回應民意服務人民,"['行政院', '卓榮泰', '院長', '率領', '的', '內閣', '團隊', '，', '也', '將', '優先', '解決', '對', '社會', '有益', '、', '朝野', '有', '共識', '的', '議題', '，', '以', '積極', '行動', '、', '創新', '思維', '，', '解決', '民瘼', '，', '來', '回應', '民意', '、', '服務', '人民']"
14,賴清德,民進黨,2024,16,目前，0403災後的復原工作，正在進行。我要再次向罹難者表示哀悼、慰問家屬。我也要感謝所有協助救災和重建的國人，以及再次感謝國際社會的關心和支持,目前0403災後的復原工作正在進行我要再次向罹難者表示哀悼慰問家屬我也要感謝所有協助救災和重建的國人以及再次感謝國際社會的關心和支持,"['目前', '，', '0403', '災', '後', '的', '復原', '工作', '，', '正在', '進行', '。', '我', '要', '再次', '向', '罹難', '者', '表示', '哀悼', '、', '慰問', '家屬', '。', '我', '也', '要', '感謝', '所有', '協助', '救災', '和', '重建', '的', '國人', '，', '以及', '再次', '感謝', '國際', '社會', '的', '關心', '和', '支持']"
15,賴清德,民進黨,2024,16,中央政府已經規劃投入285.5億元，來協助重建及產業振興，幫助花蓮民眾可以儘早恢復正常生活,中央政府已經規劃投入2855億元來協助重建及產業振興幫助花蓮民眾可以儘早恢復正常生活,"['中央政府', '已經', '規劃', '投入', '285.5億', '元', '，', '來', '協助', '重建', '及', '產業', '振興', '，', '幫助', '花蓮', '民眾', '可以', '儘早', '恢復', '正常', '生活']"
16,賴清德,民進黨,2024,16,我對未來中央和地方的互相合作、行政和立法的協調運作，寄予厚望，也希望跟所有國人攜手努力，一起深化臺灣的民主，維護印太的和平，促進世界的繁榮！二、民主臺灣，世界之光各位國人同胞，民主、和平、繁榮是臺灣的國家路線，也是臺灣與世界的連結,我對未來中央和地方的互相合作行政和立法的協調運作寄予厚望也希望跟所有國人攜手努力一起深化臺灣的民主維護印太的和平促進世界的繁榮二民主臺灣世界之光各位國人同胞民主和平繁榮是臺灣的國家路線也是臺灣與世界的連結,"['我', '對', '未來', '中央', '和', '地方', '的', '互相', '合作', '、', '行政', '和', '立法', '的', '協調', '運作', '，', '寄予', '厚望', '，', '也', '希望', '跟', '所有', '國人', '攜手', '努力', '，', '一起', '深化', '臺灣', '的', '民主', '，', '維護', '印太', '的', '和平', '，', '促進', '世界', '的', '繁榮', '！', '二', '、', '民主', '臺灣', '，', '世界', '之', '光', '各位', '國人', '同胞', '，', '民主', '、', '和平', '、', '繁榮', '是', '臺灣', '的', '國家', '路線', '，', '也', '是', '臺灣', '與', '世界', '的', '連結']"
17,賴清德,民進黨,2024,16,臺灣是「世界民主鏈」的亮點，民主臺灣的光榮時代已經來臨！臺灣自從總統直選以來，已經成為全球最蓬勃發展的民主國家之一。我們持續提升人權，向世界展現民主自由的價值,臺灣是世界民主鏈的亮點民主臺灣的光榮時代已經來臨臺灣自從總統直選以來已經成為全球最蓬勃發展的民主國家之一我們持續提升人權向世界展現民主自由的價值,"['臺灣', '是', '「', '世界', '民主', '鏈', '」', '的', '亮點', '，', '民主', '臺灣', '的', '光榮', '時代', '已經', '來臨', '！', '臺灣', '自從', '總統', '直選', '以來', '，', '已經', '成為', '全球', '最', '蓬勃', '發展', '的', '民主', '國家', '之', '一', '。', '我們', '持續', '提升', '人權', '，', '向', '世界', '展現', '民主', '自由', '的', '價值']"
18,賴清德,民進黨,2024,16,臺灣是亞洲第一個同性婚姻合法化的國家,臺灣是亞洲第一個同性婚姻合法化的國家,"['臺灣', '是', '亞洲', '第一', '個', '同性', '婚姻', '合法化', '的', '國家']"
19,賴清德,民進黨,2024,16,臺灣示範了，民主防疫可以優於專制防疫,臺灣示範了民主防疫可以優於專制防疫,"['臺灣', '示範', '了', '，', '民主', '防疫', '可以', '優於', '專制', '防疫']"
20,賴清德,民進黨,2024,16,臺灣不論是民主指數，或是自由度的評比，在亞洲的排名都是數一數二。民主臺灣已經是世界之光，這份榮耀屬於全體臺灣人民！未來，新政府將持續善用臺灣的民主活力，推動國家發展，也加深國際合作,臺灣不論是民主指數或是自由度的評比在亞洲的排名都是數一數二民主臺灣已經是世界之光這份榮耀屬於全體臺灣人民未來新政府將持續善用臺灣的民主活力推動國家發展也加深國際合作,"['臺灣', '不論', '是', '民主', '指數', '，', '或是', '自由度', '的', '評比', '，', '在', '亞洲', '的', '排名', '都', '是', '數一數二', '。', '民主', '臺灣', '已經', '是', '世界', '之', '光', '，', '這', '份', '榮耀', '屬於', '全體', '臺灣', '人民', '！', '未來', '，', '新政府', '將', '持續', '善用', '臺灣', '的', '民主', '活力', '，', '推動', '國家', '發展', '，', '也', '加深', '國際', '合作']"
21,賴清德,民進黨,2024,16,對內，我會用人唯才，清廉勤政，並落實民主治理，建立開放政府，以「公開透明」、「人民作主」的精神，鼓勵大眾參與公共政策，繼續推動十八歲公民權，共同實踐國家的願景,對內我會用人唯才清廉勤政並落實民主治理建立開放政府以公開透明人民作主的精神鼓勵大眾參與公共政策繼續推動十八歲公民權共同實踐國家的願景,"['對', '內', '，', '我', '會', '用人', '唯', '才', '，', '清廉', '勤政', '，', '並', '落實', '民主', '治理', '，', '建立', '開放', '政府', '，', '以', '「', '公開', '透明', '」', '、', '「', '人民', '作主', '」', '的', '精神', '，', '鼓勵', '大眾', '參與', '公共', '政策', '，', '繼續', '推動', '十八', '歲', '公民權', '，', '共同', '實踐', '國家', '的', '願景']"
22,賴清德,民進黨,2024,16,對外，我們將持續與民主國家，形成民主共同體，彼此交流各領域的發展經驗，一起對抗假訊息，強化民主韌性，因應各項挑戰，讓臺灣成為民主世界的MVP！三、民主臺灣，世界和平舵手和平無價，戰爭沒有贏家。明年，第二次世界大戰結束，就滿八十年，臺灣和各國都一樣，走過戰後艱辛的復興道路，才有今天的發展成果，沒有人願意讓戰爭摧毀這一切,對外我們將持續與民主國家形成民主共同體彼此交流各領域的發展經驗一起對抗假訊息強化民主韌性因應各項挑戰讓臺灣成為民主世界的MVP三民主臺灣世界和平舵手和平無價戰爭沒有贏家明年第二次世界大戰結束就滿八十年臺灣和各國都一樣走過戰後艱辛的復興道路才有今天的發展成果沒有人願意讓戰爭摧毀這一切,"['對', '外', '，', '我們', '將', '持續', '與', '民主', '國家', '，', '形成', '民主', '共同體', '，', '彼此', '交流', '各', '領域', '的', '發展', '經驗', '，', '一起', '對抗', '假', '訊息', '，', '強化', '民主', '韌性', '，', '因應', '各', '項', '挑戰', '，', '讓', '臺灣', '成為', '民主', '世界', '的', 'MVP', '！', '三', '、', '民主', '臺灣', '，', '世界', '和平', '舵手', '和平', '無價', '，', '戰爭', '沒有', '贏家', '。', '明年', '，', '第二', '次', '世界', '大戰', '結束', '，', '就', '滿', '八十', '年', '，', '臺灣', '和', '各', '國', '都', '一樣', '，', '走過', '戰後', '艱辛', '的', '復興', '道路', '，', '才', '有', '今天', '的', '發展', '成果', '，', '沒有', '人', '願意', '讓', '戰爭', '摧毀', '這', '一切']"
23,賴清德,民進黨,2024,16,如今，俄烏戰爭和以哈戰爭，持續衝擊全世界，中國的軍事行動以及灰色脅迫，也被視為全球和平穩定最大的戰略挑戰,如今俄烏戰爭和以哈戰爭持續衝擊全世界中國的軍事行動以及灰色脅迫也被視為全球和平穩定最大的戰略挑戰,"['如今', '，', '俄', '烏', '戰爭', '和', '以', '哈', '戰爭', '，', '持續', '衝擊', '全', '世界', '，', '中國', '的', '軍事', '行動', '以及', '灰色', '脅迫', '，', '也', '被', '視為', '全球', '和平', '穩定', '最', '大', '的', '戰略', '挑戰']"
24,賴清德,民進黨,2024,16,臺灣位居「第一島鏈」的戰略位置，牽動著世界地緣政治的發展。早在1921年，蔣渭水先生就指出，臺灣是「世界和平第一關的守衛」，在2024年的今天，臺灣的角色更加重要,臺灣位居第一島鏈的戰略位置牽動著世界地緣政治的發展早在1921年蔣渭水先生就指出臺灣是世界和平第一關的守衛在2024年的今天臺灣的角色更加重要,"['臺灣', '位居', '「', '第一', '島鏈', '」', '的', '戰略', '位置', '，', '牽動', '著', '世界', '地緣', '政治', '的', '發展', '。', '早', '在', '1921年', '，', '蔣渭水', '先生', '就', '指出', '，', '臺灣', '是', '「', '世界', '和平', '第一', '關', '的', '守衛', '」', '，', '在', '2024年', '的', '今天', '，', '臺灣', '的', '角色', '更加', '重要']"
25,賴清德,民進黨,2024,16,國際間已經有高度共識，認為台海的和平穩定，是全球安全與繁榮不可或缺的要素,國際間已經有高度共識認為台海的和平穩定是全球安全與繁榮不可或缺的要素,"['國際', '間', '已經', '有', '高度', '共識', '，', '認為', '台海', '的', '和平', '穩定', '，', '是', '全球', '安全', '與', '繁榮', '不可或缺', '的', '要素']"
26,賴清德,民進黨,2024,16,為了因應當前複雜的國際情勢，世界各國已經展開積極的合作，來維持區域的和平穩定,為了因應當前複雜的國際情勢世界各國已經展開積極的合作來維持區域的和平穩定,"['為', '了', '因應', '當前', '複雜', '的', '國際', '情勢', '，', '世界', '各', '國', '已經', '展開', '積極', '的', '合作', '，', '來', '維持', '區域', '的', '和平', '穩定']"
27,賴清德,民進黨,2024,16,就在上個月，美國也完成了「印太安全補充撥款法案」的立法，將提供印太區域額外安全援助，支持台海的和平穩定,就在上個月美國也完成了印太安全補充撥款法案的立法將提供印太區域額外安全援助支持台海的和平穩定,"['就', '在', '上', '個', '月', '，', '美國', '也', '完成', '了', '「', '印太', '安全', '補充', '撥款', '法案', '」', '的', '立法', '，', '將', '提供', '印太', '區域', '額外', '安全', '援助', '，', '支持', '台海', '的', '和平', '穩定']"
28,賴清德,民進黨,2024,16,我們感謝世界各國對臺灣的重視和支持，我們也要向世界宣告：民主自由，是臺灣不可退讓的堅持，和平是唯一的選項，繁榮是長治久安的目標！由於兩岸的未來，對世界的局勢有決定性的影響，承接民主化臺灣的我們，將是和平的舵手，新政府將秉持「四個堅持」，不卑不亢，維持現狀,我們感謝世界各國對臺灣的重視和支持我們也要向世界宣告民主自由是臺灣不可退讓的堅持和平是唯一的選項繁榮是長治久安的目標由於兩岸的未來對世界的局勢有決定性的影響承接民主化臺灣的我們將是和平的舵手新政府將秉持四個堅持不卑不亢維持現狀,"['我們', '感謝', '世界', '各', '國', '對', '臺灣', '的', '重視', '和', '支持', '，', '我們', '也', '要', '向', '世界', '宣告', '：', '民主', '自由', '，', '是', '臺灣', '不可', '退讓', '的', '堅持', '，', '和平', '是', '唯一', '的', '選項', '，', '繁榮', '是', '長治久安', '的', '目標', '！', '由於', '兩岸', '的', '未來', '，', '對', '世界', '的', '局勢', '有', '決定性', '的', '影響', '，', '承接', '民主化', '臺灣', '的', '我們', '，', '將', '是', '和平', '的', '舵手', '，', '新政府', '將', '秉持', '「', '四', '個', '堅持', '」', '，', '不卑不亢', '，', '維持', '現狀']"
29,賴清德,民進黨,2024,16,我也要呼籲中國，停止對臺灣文攻武嚇，一起和臺灣承擔全球的責任，致力於維持台海及區域的和平穩定，確保全球免於戰爭的恐懼,我也要呼籲中國停止對臺灣文攻武嚇一起和臺灣承擔全球的責任致力於維持台海及區域的和平穩定確保全球免於戰爭的恐懼,"['我', '也', '要', '呼籲', '中國', '，', '停止', '對', '臺灣', '文攻', '武嚇', '，', '一起', '和', '臺灣', '承擔', '全球', '的', '責任', '，', '致力', '於', '維持', '台海', '及', '區域', '的', '和平', '穩定', '，', '確保', '全球', '免於', '戰爭', '的', '恐懼']"
30,賴清德,民進黨,2024,16,臺灣人民熱愛和平，與人為善。我始終認為，如果國家領導人以人民福祉為最高考量，那麼，台海和平、互利互惠、共存共榮，應該是彼此共同的目標,臺灣人民熱愛和平與人為善我始終認為如果國家領導人以人民福祉為最高考量那麼台海和平互利互惠共存共榮應該是彼此共同的目標,"['臺灣', '人民', '熱愛', '和平', '，', '與人為善', '。', '我', '始終', '認為', '，', '如果', '國家', '領導人', '以', '人民', '福祉', '為', '最', '高', '考量', '，', '那麼', '，', '台海', '和平', '、', '互利互惠', '、', '共存', '共榮', '，', '應該', '是', '彼此', '共同', '的', '目標']"
31,賴清德,民進黨,2024,16,因此，我希望中國正視中華民國存在的事實，尊重臺灣人民的選擇，拿出誠意，和臺灣民選合法的政府，在對等、尊嚴的原則下，以對話取代對抗，交流取代圍堵，進行合作，可以先從重啟雙邊對等的觀光旅遊，以及學位生來台就學開始，一起追求和平共榮,因此我希望中國正視中華民國存在的事實尊重臺灣人民的選擇拿出誠意和臺灣民選合法的政府在對等尊嚴的原則下以對話取代對抗交流取代圍堵進行合作可以先從重啟雙邊對等的觀光旅遊以及學位生來台就學開始一起追求和平共榮,"['因此', '，', '我', '希望', '中國', '正視', '中華民國', '存在', '的', '事實', '，', '尊重', '臺灣', '人民', '的', '選擇', '，', '拿出', '誠意', '，', '和', '臺灣', '民選', '合法', '的', '政府', '，', '在', '對等', '、', '尊嚴', '的', '原則', '下', '，', '以', '對話', '取代', '對抗', '，', '交流', '取代', '圍堵', '，', '進行', '合作', '，', '可以', '先', '從', '重啟', '雙邊', '對等', '的', '觀光', '旅遊', '，', '以及', '學位生', '來', '台', '就學', '開始', '，', '一起', '追求', '和平', '共榮']"
32,賴清德,民進黨,2024,16,各位國人同胞，我們有追求和平的理想，但不能有幻想。在中國尚未放棄武力犯台之下，國人應該了解：即使全盤接受中國的主張，放棄主權，中國併吞臺灣的企圖並不會消失,各位國人同胞我們有追求和平的理想但不能有幻想在中國尚未放棄武力犯台之下國人應該了解即使全盤接受中國的主張放棄主權中國併吞臺灣的企圖並不會消失,"['各位', '國人', '同胞', '，', '我們', '有', '追求', '和平', '的', '理想', '，', '但', '不能', '有', '幻想', '。', '在', '中國', '尚未', '放棄', '武力', '犯台', '之下', '，', '國人', '應該', '了解', '：', '即使', '全盤', '接受', '中國', '的', '主張', '，', '放棄', '主權', '，', '中國', '併吞', '臺灣', '的', '企圖', '並', '不會', '消失']"
33,賴清德,民進黨,2024,16,面對來自中國的各種威脅滲透，我們必須展現守護國家的決心，提升全民保家衛國的意識，健全國安法制，並且積極落實「和平四大支柱行動方案」，強化國防力量，建構經濟安全，展現穩定而有原則的兩岸關係領導能力，以及推動價值外交，跟全球民主國家肩並肩，形成和平共同體，來發揮威懾力量，避免戰爭發生，靠實力達到和平的目標！四、民主臺灣，世界繁榮推手臺灣需要世界，世界也需要臺灣！臺灣不只是打開世界的大門，臺灣已經走到世界舞台的中心！展望未來的世界，半導體無所不在，AI浪潮席捲而來。現在的臺灣，掌握半導體先進製程技術，站在AI革命的中心，是「全球民主供應鏈」的關鍵，影響世界經濟發展，以及人類生活的幸福與繁榮,面對來自中國的各種威脅滲透我們必須展現守護國家的決心提升全民保家衛國的意識健全國安法制並且積極落實和平四大支柱行動方案強化國防力量建構經濟安全展現穩定而有原則的兩岸關係領導能力以及推動價值外交跟全球民主國家肩並肩形成和平共同體來發揮威懾力量避免戰爭發生靠實力達到和平的目標四民主臺灣世界繁榮推手臺灣需要世界世界也需要臺灣臺灣不只是打開世界的大門臺灣已經走到世界舞台的中心展望未來的世界半導體無所不在AI浪潮席捲而來現在的臺灣掌握半導體先進製程技術站在AI革命的中心是全球民主供應鏈的關鍵影響世界經濟發展以及人類生活的幸福與繁榮,"['面對', '來自', '中國', '的', '各', '種', '威脅', '滲透', '，', '我們', '必須', '展現', '守護', '國家', '的', '決心', '，', '提升', '全民', '保家衛國', '的', '意識', '，', '健全', '國安', '法制', '，', '並且', '積極', '落實', '「', '和平', '四', '大', '支柱', '行動', '方案', '」', '，', '強化', '國防', '力量', '，', '建構', '經濟', '安全', '，', '展現', '穩定', '而', '有', '原則', '的', '兩岸', '關係', '領導', '能力', '，', '以及', '推動', '價值', '外交', '，', '跟', '全球', '民主', '國家', '肩並肩', '，', '形成', '和平', '共同體', '，', '來', '發揮', '威懾', '力量', '，', '避免', '戰爭', '發生', '，', '靠', '實力', '達到', '和平', '的', '目標', '！', '四', '、', '民主', '臺灣', '，', '世界', '繁榮', '推手', '臺灣', '需要', '世界', '，', '世界', '也', '需要', '臺灣', '！', '臺灣', '不只是', '打開', '世界', '的', '大門', '，', '臺灣', '已經', '走到', '世界', '舞台', '的', '中心', '！', '展望', '未來', '的', '世界', '，', '半導體', '無所不在', '，', 'AI', '浪潮', '席捲', '而', '來', '。', '現在', '的', '臺灣', '，', '掌握', '半導體', '先進', '製程', '技術', '，', '站', '在', 'AI', '革命', '的', '中心', '，', '是', '「', '全球', '民主', '供應鏈', '」', '的', '關鍵', '，', '影響', '世界', '經濟', '發展', '，', '以及', '人類', '生活', '的', '幸福', '與', '繁榮']"
